Loan{loanId= 902, amount= 8342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 906, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 905, amount= 2342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 904, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 908, amount= 2342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 910, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 902, amount= 8342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 906, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 905, amount= 2342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 904, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 908, amount= 2342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 910, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 902, amount= 8342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 906, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 905, amount= 2342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 904, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 908, amount= 2342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 910, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 902, amount= 8342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 906, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 905, amount= 2342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 904, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 908, amount= 2342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 910, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 902, amount= 8342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 906, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 905, amount= 2342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 904, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 908, amount= 2342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 910, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 902, amount= 8342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 906, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 905, amount= 2342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 904, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 908, amount= 2342344.0', interestRate= 8.5', status= Approved'}
Loan{loanId= 910, amount= 345534.35', interestRate= 8.9', status= Sanctioned'}
Loan{loanId= 902, amount= 8342344.0', interestRate= 8.5', status= Approved'}
